Distrito;Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
FORTALEZA/CE SUL;5492;710060049;25/08/2026;Faturamento Manual;4304008;PAO DE FORMA INTEGRAL 390G BAUDUCCO;210;R$ 1.224,30
FORTALEZA/CE SUL;1109;503737928;25/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;360;R$ 907,20
FORTALEZA/CE SUL;1078;710051354;24/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;360;R$ 907,20
FORTALEZA/CE SUL;1079;503737927;25/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;360;R$ 907,20
FORTALEZA/CE SUL;1079;503737958;25/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;180;R$ 595,80
FORTALEZA/CE SUL;1109;503759191;28/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;180;R$ 595,80
FORTALEZA/CE SUL;1198;710088736;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1583;710090091;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1535;710089719;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1079;710089956;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1123;710088792;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1121;710089894;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;5494;710089886;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1498;710089885;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;L107;503758927;28/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 397,20
FORTALEZA/CE SUL;1396;709936597;04/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;63;R$ 357,84
FORTALEZA/CE SUL;L486;503759238;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE SUL;1079;503753758;27/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE SUL;L107;503758928;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE SUL;1078;503759237;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE SUL;1109;710076813;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE SUL;1078;503759611;28/08/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
FORTALEZA/CE SUL;1393;710076918;28/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
FORTALEZA/CE SUL;1079;503737958;25/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
FORTALEZA/CE SUL;1079;503766670;29/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
FORTALEZA/CE SUL;1109;503759191;28/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
FORTALEZA/CE SUL;1109;710076812;28/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
FORTALEZA/CE SUL;1324;503743183;26/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;34;R$ 162,52
FORTALEZA/CE SUL;1198;503739224;25/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;34;R$ 162,52
FORTALEZA/CE SUL;5294;503759185;28/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE SUL;5274;503750244;27/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE SUL;1552;503750246;27/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE SUL;1584;503743266;26/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE SUL;1079;503737958;25/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1396;710062891;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1109;503759191;28/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;5274;710062890;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;L107;503758927;28/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
