Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
5397;710122593;04/09/2026;Faturamento Manual;4315292;SALG PINGO DOURO PICANHA 120G ELMA CHIPS;280;R$ 1.775,20
1518;710146681;08/09/2026;Faturamento Manual;4314981;BATATA RUFFLES ORIG 68G ELMA CHIPS M;250;R$ 1.227,50
L565;710119529;03/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.219,20
L373;710119527;03/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.219,20
1224;710121985;04/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.219,20
L414;710119862;03/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.219,20
L123;503829675;10/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.219,20
1141;710119677;03/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.219,20
L439;710119861;03/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.219,20
L969;710121983;04/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.209,60
L047;503797697;04/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.209,60
1445;710150397;09/09/2026;Faturamento Manual;4314981;BATATA RUFFLES ORIG 68G ELMA CHIPS M;225;R$ 1.104,75
1459;710150391;09/09/2026;Faturamento Manual;4314981;BATATA RUFFLES ORIG 68G ELMA CHIPS M;225;R$ 1.104,75
L304;503815838;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
L199;710119614;03/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
1078;503797747;04/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
L106;503801850;05/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
5365;503801797;05/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
1223;503819123;09/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
1598;503819126;09/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
1158;503801838;05/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
1524;503801796;05/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
1114;503801798;05/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
5486;710146437;08/09/2026;Faturamento Manual;4314981;BATATA RUFFLES ORIG 68G ELMA CHIPS M;200;R$ 982,00
5397;710122608;04/09/2026;Faturamento Manual;4315061;DORITOS QUEIJO NACHO 75G ELMA CHIPS M;168;R$ 870,24
5397;710122608;04/09/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;140;R$ 770,00
5215;710146702;08/09/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;112;R$ 706,72
1518;710146704;08/09/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;112;R$ 706,72
