Distrito;Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
FORTALEZA/CE SUL;1396;709936597;04/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;63;R$ 357,84
FORTALEZA/CE SUL;1552;503708202;19/08/2026;Faturamento Manual;4315061;DORITOS QUEIJO NACHO 75G ELMA CHIPS M;64;R$ 331,52
FORTALEZA/CE SUL;L311;710042300;22/08/2026;Faturamento Manual;4276053;TORRADA INTEGRAL 120G VISCONTI;105;R$ 248,85
FORTALEZA/CE SUL;1109;503707731;19/08/2026;Faturamento Manual;2155594;RAP10 TRADICIONAL C/9 297G BIMBO;24;R$ 223,68
FORTALEZA/CE SUL;1079;503701460;18/08/2026;Faturamento Manual;2155594;RAP10 TRADICIONAL C/9 297G BIMBO;24;R$ 223,68
FORTALEZA/CE SUL;1324;710032126;20/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;34;R$ 162,52
FORTALEZA/CE SUL;1198;710032091;20/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;34;R$ 162,52
FORTALEZA/CE SUL;5274;710042040;22/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE SUL;1584;710042457;22/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE SUL;1552;710042655;22/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE SUL;5294;710042286;22/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE SUL;1109;503707594;19/08/2026;Faturamento Manual;4307554;BATATA FRIT RUSTIC CREAM CHEESE 68G LAYS;30;R$ 155,40
FORTALEZA/CE SUL;5056;503708592;19/08/2026;Faturamento Manual;4307554;BATATA FRIT RUSTIC CREAM CHEESE 68G LAYS;30;R$ 155,40
FORTALEZA/CE SUL;1079;503701251;18/08/2026;Faturamento Manual;4307554;BATATA FRIT RUSTIC CREAM CHEESE 68G LAYS;30;R$ 155,40
FORTALEZA/CE SUL;5056;503708654;19/08/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1109;503707593;19/08/2026;Faturamento Manual;4315216;DORITOS QUEIJO NACHO 120G ELMA CHIPS G;17;R$ 132,43
FORTALEZA/CE SUL;L433;503716117;20/08/2026;Faturamento Manual;4315216;DORITOS QUEIJO NACHO 120G ELMA CHIPS G;17;R$ 132,43
FORTALEZA/CE SUL;1079;503701250;18/08/2026;Faturamento Manual;4315216;DORITOS QUEIJO NACHO 120G ELMA CHIPS G;17;R$ 132,43
FORTALEZA/CE SUL;5056;503708592;19/08/2026;Faturamento Manual;4315061;DORITOS QUEIJO NACHO 75G ELMA CHIPS M;25;R$ 129,50
FORTALEZA/CE SUL;L433;710042215;22/08/2026;Faturamento Manual;4315061;DORITOS QUEIJO NACHO 75G ELMA CHIPS M;25;R$ 129,50
FORTALEZA/CE SUL;1109;503725585;22/08/2026;Faturamento Manual;4121137;BARRA FRUTA NUTRY BAN/AMEIXA C/CHOC C/3;24;R$ 100,80
FORTALEZA/CE SUL;1079;710032086;20/08/2026;Faturamento Manual;4121137;BARRA FRUTA NUTRY BAN/AMEIXA C/CHOC C/3;24;R$ 100,80
FORTALEZA/CE SUL;1078;503725587;22/08/2026;Faturamento Manual;4121137;BARRA FRUTA NUTRY BAN/AMEIXA C/CHOC C/3;24;R$ 100,80
FORTALEZA/CE SUL;1198;710040968;22/08/2026;Faturamento Manual;4276053;TORRADA INTEGRAL 120G VISCONTI;32;R$ 75,84
FORTALEZA/CE SUL;1109;503707593;19/08/2026;Faturamento Manual;4315187;FANDANGOS QUEIJO 105G ELMA CHIPS M;14;R$ 49,98
FORTALEZA/CE SUL;1079;503701250;18/08/2026;Faturamento Manual;4315187;FANDANGOS QUEIJO 105G ELMA CHIPS M;14;R$ 49,98
FORTALEZA/CE SUL;L433;503716117;20/08/2026;Faturamento Manual;4315187;FANDANGOS QUEIJO 105G ELMA CHIPS M;14;R$ 49,97
FORTALEZA/CE SUL;1079;710044916;22/08/2026;Faturamento Manual;4310333;BISNAGUINHA TRADICIONAL 240G VISCONTI;9;R$ 36,55
